Time_seconds,OmegaX_[deg/s],OmegaY_[deg/s],OmegaZ_[deg/s],AccX_[m/s/s],AccY_[m/s/s],AccZ_[m/s/s],Temperature_[C]
1.033,0.0000000,0.0000000,0.0000000,-0.3544629,-0.1676514,9.9010105,31.37
1.044,0.0000000,0.0610352,0.0000000,-0.3592529,-0.1676514,9.8914309,31.36
1.055,0.0000000,0.0610352,-0.0610352,-0.3832031,-0.1724414,9.8770609,31.37
1.066,0.0000000,0.0000000,-0.0610352,-0.3688330,-0.1772314,9.8866405,31.37
1.077,0.0000000,0.0000000,-0.0610352,-0.3688330,-0.1628613,9.8722706,31.37
1.088,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1532813,9.8674803,31.37
1.099,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1772314,9.9010105,31.37
1.110,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1820215,9.9153805,31.37
1.121,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1676514,9.8962212,31.37
1.132,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1724414,9.8626900,31.36
1.143,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1628613,9.8818502,31.37
1.154,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1628613,9.9058008,31.36
1.165,0.0000000,0.0000000,0.0000000,-0.3496729,-0.1580713,9.9058008,31.37
1.176,0.0000000,0.0000000,0.0000000,-0.3544629,-0.1772314,9.9058008,31.36
1.187,0.0000000,0.0610352,0.0000000,-0.3592529,-0.1532813,9.8722706,31.36
1.198,0.0000000,0.0610352,0.0000000,-0.3640430,-0.1532813,9.8818502,31.37
1.209,0.0000000,0.0000000,0.0000000,-0.3736230,-0.1724414,9.8914309,31.37
1.220,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1580713,9.8674803,31.38
1.231,0.0000000,0.0610352,-0.0610352,-0.3688330,-0.1724414,9.8818502,31.37
1.242,0.0000000,0.0610352,0.0000000,-0.3736230,-0.1676514,9.8866405,31.36
1.253,0.0000000,0.0000000,0.0000000,-0.3736230,-0.1724414,9.8818502,31.35
1.264,0.0000000,0.0000000,0.0000000,-0.3784131,-0.1532813,9.8962212,31.37
1.275,0.0000000,0.0000000,0.0000000,-0.3736230,-0.1724414,9.8531103,31.38
1.286,0.0000000,0.0000000,0.0000000,-0.3736230,-0.1676514,9.8626900,31.35
1.297,0.0610352,0.0000000,0.0000000,-0.3736230,-0.1628613,9.8914309,31.36
1.308,0.0000000,0.0610352,0.0000000,-0.3879932,-0.1820215,9.9105911,31.36
